Month,Special Category Visa (subclass 444)(f),Permanent Family Visas,Permanent Skilled Visas,Permanent Other Visas,Permanent Visas - Total,Temporary Student Visas - Higher Educ.,Temporary Student Visas - Vocational Educ. & Training,Temporary Student Visas - Schools,Temporary Student Visas - Independent ELICOS(g),Temporary Student Visas - Postgraduate Research,Temporary Student Visas - Other Students,Temporary Student Visas - Total,Temporary Visitor Visas,Temporary Skilled Visas,Temporary Work Visas,Temporary Other Visas,Temporary Other Visas - Total,Other Visas(h),Total(i),State
Jan-2014,161660,30600,67060,51420,149080,26120,8310,6830,3150,3810,4350,52570,365370,51270,27160,22870,101300,1160,1744890,NSW
Feb-2014,118760,22720,45050,35490,103260,85320,7800,6070,2700,4010,9560,115470,418930,23520,24310,21670,69490,1140,1339050,VIC
Mar-2014,136160,21750,33480,29200,84430,32260,4920,370,2870,2190,1650,44260,407140,23680,23260,19000,65940,1490,1280150,QL
Apr-2014,149310,22740,38090,35050,95880,12320,4880,2580,2230,1640,2870,26520,333430,29110,19140,16560,64810,2050,1331230,TAS
May-2014,132300,20960,33830,34120,88910,9450,4100,250,2110,1700,1550,19160,304720,23220,19000,14470,56690,1290,1187550,NSW
Jun-2014,126040,19680,31790,34790,86260,14260,4110,440,1940,2000,2630,25380,289690,24380,18440,13790,56620,1490,1179420,NSW
Jul-2014,149800,19820,38920,40460,99200,59270,6310,7760,1940,2510,10650,88440,350720,30470,17520,15070,63060,2290,1594110,NSW
Aug-2014,143070,22390,35260,35660,93320,23010,4230,850,3370,2800,2240,36510,345020,28040,22680,15160,65870,1830,1362450,NSW
Sep-2014,146520,21290,33730,37640,92660,12340,4410,620,3020,2240,1470,24090,322810,25550,31560,16620,73740,1870,1381030,NSW
Oct-2014,166890,21540,36700,42870,101110,16920,5380,3180,2420,1900,2550,32360,360700,25280,30030,20400,75710,2670,1574500,NSW
Nov-2014,136990,20590,30520,33780,84890,13030,3890,300,2410,1630,1880,23130,425790,21800,24770,19410,65990,1710,1342800,NSW
Dec-2014,147830,18760,29100,31080,78940,13710,3790,390,1820,1650,3070,24430,585480,18890,19950,15860,54690,810,1455550,NSW
Jan-2015,162350,32830,70340,56240,159400,31720,10030,10600,3470,4070,4520,64400,340450,46570,26540,25540,98650,1300,1780350,NSW
Feb-2015,118010,20460,41020,32770,94250,81870,6080,3530,2850,3160,10110,107610,507990,20570,21350,20910,62830,1530,1415950,NSW
Mar-2015,143300,24000,39240,33760,97000,41070,6040,440,3360,2660,1520,55090,460600,23000,24710,22630,70340,1000,1388160,NSW
Apr-2015,151340,23240,41440,39220,103900,14320,6040,3120,2980,1960,3350,31780,348390,26550,19930,17170,63650,2570,1365370,NSW
May-2015,135110,21470,34860,34150,90480,9130,4670,250,2210,1690,1390,19340,312650,22400,18950,16000,57350,1570,1215090,NSW
Jun-2015,134030,21290,34120,35540,90950,13760,5350,510,2420,2030,2300,26360,305920,22890,18120,15110,56130,3110,1233570,NSW
Jul-2015,160580,20690,41730,42120,104540,68560,8000,10250,2460,3030,10970,103270,362950,27850,17370,18410,63630,2920,1646140,NSW
Aug-2015,148910,23740,38140,37640,99520,20660,4920,780,3260,2600,2310,34530,373910,25810,21100,16980,63890,1370,1419480,NSW
Sep-2015,152400,21690,35140,39680,96510,13230,5350,690,3220,1860,2430,26770,362660,24020,30170,17900,72090,1670,1456880,NSW
Oct-2015,169470,22420,38750,45710,106880,19550,6550,3350,2970,2120,2730,37260,395350,23390,28760,20790,72940,2540,1650380,NSW
Nov-2015,140870,20930,33780,35250,89960,14460,4600,370,2430,2050,2240,26140,478090,20480,24540,19120,64140,2020,1424700,NSW
Dec-2015,151680,20770,31620,32150,84550,15300,4450,510,2140,1740,2780,26920,662250,18680,19510,16230,54420,940,1584200,NSW
Jan-2016,169140,32660,75710,60460,168830,33460,12420,13150,3160,4450,4000,70650,397850,41450,26270,28350,96070,1100,1908270,NSW
Feb-2016,119770,25010,45500,37350,107860,109890,8660,3350,3170,3840,10370,139260,551730,20920,23540,24930,69400,1320,1560130,NSW
Mar-2016,144630,23820,37040,36200,97070,34270,5940,440,3500,2120,1290,47560,539750,20940,21960,22790,65690,1620,1479930,NSW
Apr-2016,153260,23500,42940,42400,108840,15050,7020,3510,3130,2030,3270,34020,406580,22540,19700,19120,61350,2360,1473700,NSW
May-2016,136710,22800,35730,38290,96820,9890,5400,620,2690,1590,1480,21670,363640,20940,18270,17700,56910,1260,1304820,NSW
Jun-2016,138850,21850,35280,38460,95590,16110,6140,450,3050,1830,2420,30000,363050,20580,18460,17310,56340,1430,1326820,NSW
Jul-2016,166700,22590,44960,49020,116570,85450,9330,11450,2690,3270,10600,122790,431180,26510,16570,20660,63740,2740,1829100,NSW
Aug-2016,149040,24270,39670,41430,105370,19870,6040,870,3660,2370,1400,34210,429620,23910,21930,18600,64450,1230,1511510,NSW
Sep-2016,165160,22400,38630,44900,105940,16610,7590,1190,4160,2360,2120,34020,419110,23290,30350,19500,73130,2660,1587330,NSW
Oct-2016,175180,23450,41650,52610,117710,21560,7690,3800,3350,2110,2740,41240,460310,24920,27450,22230,74590,3330,1778870,NSW
Nov-2016,143870,21390,35790,40050,97230,16740,5760,390,3280,1770,1790,29720,526560,19830,25330,21050,66220,1040,1512920,NSW
Dec-2016,160770,21020,33790,37190,92010,18230,5460,600,2450,1930,2950,31610,730970,16870,18930,17910,53720,1390,1716250,NSW
Jan-2017,172010,31170,79350,65910,176430,35550,13530,13190,3880,4140,3640,73920,499560,39100,24640,30250,93980,1390,2066340,NSW
Feb-2017,126120,27980,52210,46600,126780,129960,11400,5710,3790,4260,10200,165310,517250,20960,24040,27530,72540,1700,1631360,NSW
Mar-2017,148260,22240,36910,37550,96700,37930,7080,430,4340,2090,1610,53490,552590,18010,24280,23750,66040,1890,1522680,NSW
Apr-2017,162290,24560,48740,49580,122880,19860,9080,4190,3920,2030,4020,43100,480830,24200,17730,22020,63950,3370,1649770,NSW
May-2017,139820,23390,38680,42360,104440,11350,6610,610,2870,2060,1540,25030,395770,20210,18620,20560,59390,1800,1401070,NSW
Jun-2017,141130,23220,36790,42540,102550,18960,7320,520,3490,2000,2780,35060,404730,22270,19030,20510,61800,1190,1421130,NSW
Jul-2017,170130,22600,46620,51410,120630,100110,9990,12610,3170,3240,9620,138730,445170,24820,16030,21890,62740,5850,1909100,NSW
Aug-2017,152190,23570,38350,44130,106060,23710,6970,870,4350,2360,1620,39870,489410,22310,21290,20590,64200,2270,1623620,NSW
